epoch [941/1500], loss:0.1297
epoch [946/1500], loss:0.1297
epoch [951/1500], loss:0.1298
epoch [956/1500], loss:0.1298
epoch [961/1500], loss:0.1300
epoch [966/1500], loss:0.1293
epoch [971/1500], loss:0.1296
epoch [976/1500], loss:0.1294
epoch [981/1500], loss:0.1295
epoch [986/1500], loss:0.1292
epoch [991/1500], loss:0.1291
epoch [996/1500], loss:0.1291
epoch [1001/1500], loss:0.1290
epoch [1006/1500], loss:0.1293
epoch [1011/1500], loss:0.1288
epoch [1016/1500], loss:0.1287
epoch [1021/1500], loss:0.1291
epoch [1026/1500], loss:0.1287
epoch [1031/1500], loss:0.1287
epoch [1036/1500], loss:0.1287
epoch [1041/1500], loss:0.1287
epoch [1046/1500], loss:0.1286
epoch [1051/1500], loss:0.1283
epoch [1056/1500], loss:0.1285
epoch [1061/1500], loss:0.1284
epoch [1066/1500], loss:0.1286
epoch [1071/1500], loss:0.1283
epoch [1076/1500], loss:0.1282
epoch [1081/1500], loss:0.1280
epoch [1086/1500], loss:0.1280
epoch [1091/1500], loss:0.1279
epoch [1096/1500], loss:0.1279
epoch [1101/1500], loss:0.1280
epoch [1106/1500], loss:0.1278
epoch [1111/1500], loss:0.1280
epoch [1116/1500], loss:0.1276
epoch [1121/1500], loss:0.1273
epoch [1126/1500], loss:0.1275
epoch [1131/1500], loss:0.1276
epoch [1136/1500], loss:0.1274
epoch [1141/1500], loss:0.1275
epoch [1146/1500], loss:0.1275
epoch [1151/1500], loss:0.1272
epoch [1156/1500], loss:0.1273
epoch [1161/1500], loss:0.1273
epoch [1166/1500], loss:0.1273
epoch [1171/1500], loss:0.1271
epoch [1176/1500], loss:0.1271
epoch [1181/1500], loss:0.1271
epoch [1186/1500], loss:0.1271
epoch [1191/1500], loss:0.1269
epoch [1196/1500], loss:0.1271
epoch [1201/1500], loss:0.1272
epoch [1206/1500], loss:0.1270
epoch [1211/1500], loss:0.1268
epoch [1216/1500], loss:0.1267
epoch [1221/1500], loss:0.1267
epoch [1226/1500], loss:0.1268
epoch [1231/1500], loss:0.1269
epoch [1236/1500], loss:0.1266
epoch [1241/1500], loss:0.1271
epoch [1246/1500], loss:0.1266
epoch [1251/1500], loss:0.1263
epoch [1256/1500], loss:0.1265
epoch [1261/1500], loss:0.1265
